id,document_id,court,esas_no,karar_no,karar_tarihi,year,chars,text
yargitay:772980700,772980700,13. Hukuk Dairesi,2010/92,2010/364,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/92 E. , 2010/364 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772981000,772981000,13. Hukuk Dairesi,2010/86,2010/361,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/86 E. , 2010/361 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:772982100,772982100,13. Hukuk Dairesi,2010/76,2010/359,2010-01-20,2010,120,"(Kapatılan) 13. Hukuk Dairesi 2010/76 E. , 2010/359 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:823345400,823345400,21. Hukuk Dairesi,2009/834,2010/429,2010-01-21,2010,120,"(Kapatılan)21. Hukuk Dairesi 2009/834 E. , 2010/429 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:770194900,770194900,13. Hukuk Dairesi,2010/254,2010/399,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/254 E. , 2010/399 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:770196900,770196900,13. Hukuk Dairesi,2010/444,2010/417,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/444 E. , 2010/417 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:770197900,770197900,13. Hukuk Dairesi,2010/345,2010/414,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/345 E. , 2010/414 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:770198700,770198700,13. Hukuk Dairesi,2010/357,2010/415,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/357 E. , 2010/415 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:770198900,770198900,13. Hukuk Dairesi,2010/238,2010/394,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/238 E. , 2010/394 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:770199600,770199600,13. Hukuk Dairesi,2010/446,2010/418,2010-01-20,2010,121,"(Kapatılan) 13. Hukuk Dairesi 2010/446 E. , 2010/418 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
